pair,ema,bol_band,bol_std,result
ETH/USDT,24,50,17,522.24
BTC/USDT,24,50,17,270.08
DOGE/USDT,24,50,17,650.54
NEAR/USDT,24,50,17,107.62
TIA/USDT,24,50,17,-50.76
TAO/USDT,24,50,17,25.81
TON/USDT,24,50,17,-3.76
ETH/USDT,24,50,18,594.79
BTC/USDT,24,50,18,304.57
DOGE/USDT,24,50,18,661.06
NEAR/USDT,24,50,18,92.81
TIA/USDT,24,50,18,-92.03
TAO/USDT,24,50,18,23.19
TON/USDT,24,50,18,-4.82
ETH/USDT,24,50,19,540.03
BTC/USDT,24,50,19,303.34
DOGE/USDT,24,50,19,705.72
NEAR/USDT,24,50,19,39.33
TIA/USDT,24,50,19,-88.34
TAO/USDT,24,50,19,24.17
TON/USDT,24,50,19,-6.97
BTC/USDT,24,50,20,296.95
ETH/USDT,24,50,20,517.39
DOGE/USDT,24,50,20,684.17
NEAR/USDT,24,50,20,15.51
TIA/USDT,24,50,20,-85.75
TAO/USDT,24,50,20,35.11
TON/USDT,24,50,20,-7.9
BTC/USDT,24,50,21,285.13
ETH/USDT,24,50,21,482.49
DOGE/USDT,24,50,21,726.73
NEAR/USDT,24,50,21,-12.96
TIA/USDT,24,50,21,-77.0
TAO/USDT,24,50,21,12.44
TON/USDT,24,50,21,-7.97
BTC/USDT,24,50,22,263.23
ETH/USDT,24,50,22,467.7
DOGE/USDT,24,50,22,701.19
NEAR/USDT,24,50,22,8.63
TIA/USDT,24,50,22,-76.96
TAO/USDT,24,50,22,-0.32
TON/USDT,24,50,22,-4.18
ETH/USDT,24,50,23,431.61
BTC/USDT,24,50,23,276.98
DOGE/USDT,24,50,23,659.82
NEAR/USDT,24,50,23,-11.42
TIA/USDT,24,50,23,-65.78
TAO/USDT,24,50,23,-6.07
TON/USDT,24,50,23,-5.72
ETH/USDT,24,50,24,434.35
BTC/USDT,24,50,24,240.51
DOGE/USDT,24,50,24,616.17
NEAR/USDT,24,50,24,-10.55
TIA/USDT,24,50,24,-82.25
TAO/USDT,24,50,24,-9.68
TON/USDT,24,50,24,-6.05
ETH/USDT,24,50,25,371.7
BTC/USDT,24,50,25,253.32
DOGE/USDT,24,50,25,627.26
NEAR/USDT,24,50,25,-39.13
TIA/USDT,24,50,25,-84.96
TAO/USDT,24,50,25,-22.74
TON/USDT,24,50,25,-7.45
ETH/USDT,24,50,26,352.8
BTC/USDT,24,50,26,293.17
DOGE/USDT,24,50,26,632.91
NEAR/USDT,24,50,26,-60.48
TIA/USDT,24,50,26,-96.46
TAO/USDT,24,50,26,-15.57
TON/USDT,24,50,26,-11.46
ETH/USDT,24,50,27,374.88
BTC/USDT,24,50,27,300.57
DOGE/USDT,24,50,27,629.3
NEAR/USDT,24,50,27,-86.23
TIA/USDT,24,50,27,-92.35
TAO/USDT,24,50,27,-8.37
TON/USDT,24,50,27,-15.77
ETH/USDT,24,50,28,439.9
BTC/USDT,24,50,28,287.78
DOGE/USDT,24,50,28,626.88
NEAR/USDT,24,50,28,-123.94
TIA/USDT,24,50,28,-90.88
TAO/USDT,24,50,28,-33.51
TON/USDT,24,50,28,-14.95
BTC/USDT,24,50,29,268.92
ETH/USDT,24,50,29,433.35
DOGE/USDT,24,50,29,600.85
NEAR/USDT,24,50,29,-115.27
TIA/USDT,24,50,29,-64.12
TAO/USDT,24,50,29,-25.27
TON/USDT,24,50,29,-11.53
ETH/USDT,24,51,17,526.17
BTC/USDT,24,51,17,296.86
DOGE/USDT,24,51,17,680.08
NEAR/USDT,24,51,17,107.79
TIA/USDT,24,51,17,-68.82
TAO/USDT,24,51,17,30.44
TON/USDT,24,51,17,-5.73
ETH/USDT,24,51,18,575.48
BTC/USDT,24,51,18,316.66
DOGE/USDT,24,51,18,665.83
NEAR/USDT,24,51,18,95.56
TIA/USDT,24,51,18,-92.92
TAO/USDT,24,51,18,19.39
TON/USDT,24,51,18,-4.82
ETH/USDT,24,51,19,547.73
BTC/USDT,24,51,19,307.92
DOGE/USDT,24,51,19,702.29
NEAR/USDT,24,51,19,73.72
TIA/USDT,24,51,19,-92.16
TAO/USDT,24,51,19,21.15
TON/USDT,24,51,19,-6.97
BTC/USDT,24,51,20,289.38
ETH/USDT,24,51,20,522.51
DOGE/USDT,24,51,20,639.35
NEAR/USDT,24,51,20,19.25
TIA/USDT,24,51,20,-78.52
TAO/USDT,24,51,20,23.05
TON/USDT,24,51,20,-6.93
BTC/USDT,24,51,21,295.41
ETH/USDT,24,51,21,483.89
DOGE/USDT,24,51,21,742.93
NEAR/USDT,24,51,21,-7.76
TIA/USDT,24,51,21,-77.32
TAO/USDT,24,51,21,7.25
TON/USDT,24,51,21,-8.32
ETH/USDT,24,51,22,442.81
BTC/USDT,24,51,22,274.76
DOGE/USDT,24,51,22,681.54
NEAR/USDT,24,51,22,0.47
TIA/USDT,24,51,22,-80.22
TAO/USDT,24,51,22,-2.14
TON/USDT,24,51,22,-7.25
ETH/USDT,24,51,23,440.47
BTC/USDT,24,51,23,275.27
DOGE/USDT,24,51,23,679.6
NEAR/USDT,24,51,23,-38.39
TIA/USDT,24,51,23,-67.3
TAO/USDT,24,51,23,-1.27
TON/USDT,24,51,23,-6.1
ETH/USDT,24,51,24,417.53
BTC/USDT,24,51,24,246.05
DOGE/USDT,24,51,24,622.87
NEAR/USDT,24,51,24,-47.09
TIA/USDT,24,51,24,-71.03
TAO/USDT,24,51,24,-5.32
TON/USDT,24,51,24,-5.3
ETH/USDT,24,51,25,376.16
BTC/USDT,24,51,25,253.94
DOGE/USDT,24,51,25,623.57
NEAR/USDT,24,51,25,-39.83
TIA/USDT,24,51,25,-77.91
TAO/USDT,24,51,25,-20.86
TON/USDT,24,51,25,-7.45
ETH/USDT,24,51,26,371.92
BTC/USDT,24,51,26,298.56
DOGE/USDT,24,51,26,623.12
NEAR/USDT,24,51,26,-64.92
TIA/USDT,24,51,26,-93.04
TAO/USDT,24,51,26,-17.42
TON/USDT,24,51,26,-12.21
ETH/USDT,24,51,27,383.41
BTC/USDT,24,51,27,301.85
DOGE/USDT,24,51,27,616.63
NEAR/USDT,24,51,27,-101.71
TIA/USDT,24,51,27,-94.62
TAO/USDT,24,51,27,-27.97
TON/USDT,24,51,27,-15.77
ETH/USDT,24,51,28,424.32
BTC/USDT,24,51,28,299.29
DOGE/USDT,24,51,28,625.84
NEAR/USDT,24,51,28,-109.08
TIA/USDT,24,51,28,-88.9
TAO/USDT,24,51,28,-28.62
TON/USDT,24,51,28,-14.95
BTC/USDT,24,51,29,265.89
ETH/USDT,24,51,29,440.94
DOGE/USDT,24,51,29,588.28
NEAR/USDT,24,51,29,-117.3
TIA/USDT,24,51,29,-73.61
TAO/USDT,24,51,29,-31.03
TON/USDT,24,51,29,-11.53
ETH/USDT,24,52,17,517.2
BTC/USDT,24,52,17,286.98
DOGE/USDT,24,52,17,696.05
NEAR/USDT,24,52,17,109.43
TIA/USDT,24,52,17,-61.86
TAO/USDT,24,52,17,30.57
TON/USDT,24,52,17,-5.73
ETH/USDT,24,52,18,546.03
BTC/USDT,24,52,18,324.5
DOGE/USDT,24,52,18,679.38
NEAR/USDT,24,52,18,90.48
TIA/USDT,24,52,18,-88.5
TAO/USDT,24,52,18,32.2
TON/USDT,24,52,18,-6.24
ETH/USDT,24,52,19,522.25
BTC/USDT,24,52,19,325.12
DOGE/USDT,24,52,19,682.74
NEAR/USDT,24,52,19,23.9
TIA/USDT,24,52,19,-73.99
TAO/USDT,24,52,19,16.24
TON/USDT,24,52,19,-5.25
BTC/USDT,24,52,20,307.42
ETH/USDT,24,52,20,556.56
DOGE/USDT,24,52,20,647.01
NEAR/USDT,24,52,20,24.99
TIA/USDT,24,52,20,-71.03
TAO/USDT,24,52,20,17.9
TON/USDT,24,52,20,-7.06
BTC/USDT,24,52,21,292.67
ETH/USDT,24,52,21,474.11
DOGE/USDT,24,52,21,724.6
NEAR/USDT,24,52,21,-25.19
TIA/USDT,24,52,21,-78.13
TAO/USDT,24,52,21,7.2
TON/USDT,24,52,21,-8.7
ETH/USDT,24,52,22,450.2
BTC/USDT,24,52,22,292.42
DOGE/USDT,24,52,22,672.13
NEAR/USDT,24,52,22,-25.23
TIA/USDT,24,52,22,-66.31
